Name,Cuisine Types,Zip Code
MJ O'Connor's - Seaport,"American, Cocktail Bars, Beer Bar",02210
Silk Road Uyghur Cuisine,"Chinese, Halal, Asian Fusion",02141
Sufra Mediterranean Food,"Mediterranean, Halal",02215
Pinky’s Cocktails And Dreams,"Cocktail Bars, American",02116
Tatte Bakery & Cafe,"Bakeries, Cafes, Breakfast & Brunch",02446
Saigon Fusion,Vietnamese,02115
Cannonball Cafe,Cafes,02127
Madras Dosa,Indian,02210
Tenderoni's,"Pizza, Italian, Cocktail Bars",02215
Clover Food Lab,"New American, Cafes, Sandwiches",02116
Empire,"Lounges, Asian Fusion, Sushi Bars",02210
Mei Mei Street Kitchen,"Caterers, Food Trucks, Asian Fusion",02215
Ten Tables,New American,02130
sweetgreen,Salad,02199
Blu Restaurant & Bar,"New American, Seafood",02111
Wen’s Noodle & Ramen 过桥米线,"Noodles, Ramen, Chinese",02111
Clover Food Lab,"Sandwiches, Cafes, New American",02139
Off the Common,New American,02116
Tavern in the Square,"Sports Bars, American",02110
Alfredo's Italian Kitchen - South Boston,"Italian, Pizza",02127
Tatte Bakery & Cafe,"Cafes, Bakeries, Breakfast & Brunch",02115
Si Cara,"Pizza, Wine Bars, Tapas/Small Plates",02139
DIG,New American,02210
Eddie V's Prime Seafood,"Seafood, Steakhouses, Lounges",01803
Happy Lamb Hot Pot,"Hot Pot, Chinese, Asian Fusion",02116
Premiere on Broadway,"Music Venues, Italian, Cocktail Bars",02145
Mida - East Boston,"Pizza, Italian, Wine Bars",02128
Mastro's Ocean Club,"Steakhouses, Seafood",02210
Moon & Flower House -Boston,"Burgers, Bubble Tea, Desserts",02111
Sycamore,"New American, French",02459
Suasday,"Sandwiches, Cambodian, Salad",02113
Hobgoblin Bar,"Bars, Asian Fusion, Tapas Bars",02111
VERSUS,"Arcades, Bars, American",02108
Zhi Wei Cafe,"Chinese, Noodles",02111
BONAPITA,"Mediterranean, Bakeries, Food Delivery Services",02110
Clover Food Truck,"New American, Cafes, Sandwiches",02111
The Mission Bar & Grill,"Bars, New American",02120
Figaro's,Delis,02111
Chart House,"Seafood, Steakhouses, Venues & Event Spaces",02110
Parm,"Italian, Coffee & Tea, Salad",02116
Umai,Japanese,02116
Za,"Pizza, New American",02142
Rosebud Bar & Kitchen ,"New American, Cocktail Bars, Indian",02144
LaMei Hot Pot,"Chinese, Hot Pot, Bars",02446
Olde Magoun's Saloon,"Irish, Sports Bars, American",02145
75 on Liberty Wharf,"New American, Breakfast & Brunch, Bars",02210
Oak Bistro,"New American, Burgers",02139
Jamaica Mi Hungry,Caribbean,02130
The Coast Cafe,"Soul Food, Barbeque",02139
Five Horses Tavern,"Beer Bar, New American, Tacos",02144
dbar,"Dance Clubs, New American",02125
Rosa Mexicano,"Mexican, Salad, Cocktail Bars",02210
Pita Thyme,"Lebanese, Mediterranean",02109
Rock Bottom,American,02116
Scholars American Bistro & Cocktail Club,"New American, Pool Halls, Cocktail Bars",02108
Wicked Lobsta,Seafood,02109
Sabroso Taqueria,Mexican,02109
Local 149,"Bars, New American, Breakfast & Brunch",02127
Bar 10,"Lounges, New American, Cocktail Bars",02116
Pete's Dockside,"American, Seafood, Breakfast & Brunch",02210
GRECO,"Greek, Salad, Coffee & Tea",02109
Alive & Kicking Lobsters,"Seafood, Sandwiches",02139
Chelsea Station Restaurant Bar & Lounge,"Bars, New American, Breakfast & Brunch",02150
Sakana,"Sushi Bars, Japanese, Soup",02138
Elmendorf Baking Supplies,"Cafes, Specialty Food, Hobby Shops",02141
Somenya - Soba restaurant,Japanese,02111
Garlic 'n Lemons,"Middle Eastern, Mediterranean, Halal",02134
Oliveira's Steak House,"Brazilian, Steakhouses, Salad",02143
Omori Izakaya Brookline,"Japanese, Sushi Bars, Pubs",02445
Jaho,"Coffee & Tea, Bakeries, Sandwiches",02118
Pink Taco Boston,"Mexican, Breakfast & Brunch, Bars",02210
Central Wharf Co,"Bars, New American, Seafood",02109
Montien Thai Restaurant,"Thai, Seafood, Cocktail Bars",02116
Caffè Nero,"Coffee & Tea, Breakfast & Brunch",02111
Met Back Bay,New American,02116
Ducali Pizzeria & Bar,"Pizza, Italian, Cafes",02114
Alibi,"Lounges, New American",02114
Fiya Chicken,"Chicken Wings, Korean",02215
Laughing Monk Cafe,Thai,02134
Pier 6 Boston Waterfront,"Bars, New American, Seafood",02129
Cafe Sushi Shoten,"Japanese, Specialty Food",02138
Chinatown Cafe,Chinese,02111
Izakaya Ittoku,"Sushi Bars, Tapas/Small Plates, Izakaya",02140
Flour Bakery + Cafe,"Bakeries, Sandwiches, Desserts",02139
Estella,"American, Venues & Event Spaces, Bars",02111
Rocco's Cucina & Bar,"Sports Bars, Italian, Wraps",02109
Bangkok Pinto,Thai,02120
American Provisions,"Cheese Shops, Meat Shops, Sandwiches",02127
Seiyo,"Sushi Bars, Japanese",02118
Chicken and Rice Guys,"Halal, Mediterranean, Food Trucks",02108
Tres Gatos,"Tapas Bars, Wine Bars, Vinyl Records",02130
L'Osteria,"Italian, Wine Bars, Seafood",02113
Juliet,"Cafes, Breakfast & Brunch, French",02143
Renegade's Pub,"Pubs, Burgers",02128
Strega,Italian,02113
Bin 26 Enoteca,"Italian, Wine Bars",02114
Peruvian Taste,"Peruvian, Desserts, Breakfast & Brunch",02129
honeygrow,"Salad, Noodles, Desserts",02215
Rincón Mexicano,Mexican,02145
Tatte Bakery & Cafe,"Cafes, Bakeries, Breakfast & Brunch",02114
Peppercorn House,"Seafood, Asian Fusion, Thai",01801
Winsor Dim Sum Café,Dim Sum,02111
Gufo,"Pizza, Italian, Cocktail Bars",02141
Fin's Sushi & Grill,"Sushi Bars, Japanese",02116
South Street Diner,"Diners, Breakfast & Brunch",02111
The Bancroft,"New American, Steakhouses, Cocktail Bars",01803
A&B Kitchen • Bar,"Burgers, Comfort Food, Sports Bars",02114
wagamama - Faneuil Hall,"Asian Fusion, Noodles",02109
CAVA,"Mediterranean, Salad",02215
Gogo ya,"Japanese, Tacos",02215
Machu Chicken,Peruvian,02143
Fuji at Kendall,"Sushi Bars, Japanese, Asian Fusion",02142
Cesaria,"Portuguese, African, Seafood",02122
Boston & Maine Fish Co,Seafood,02109
Boqueria Seaport,"Spanish, Seafood, Tapas Bars",02210
PadThai Cafe,Thai,02215
Legal Sea Foods - Kendall Square,"Seafood, Bars, Sandwiches",02142
Mystic Station,"New American, Cocktail Bars, Desserts",02148
The Abbey,New American,02445
Tarboosh,"Pizza, Mediterranean, Halal",02134
Beantown Pastrami,"American, Sandwiches, Delis",02108
Thornton's Fenway Grille,"American, Breakfast & Brunch",02215
Five Spices House,Szechuan,02111
Pintxo Pincho Tapas Bar,"Spanish, Tapas Bars, Tapas/Small Plates",01801
Tasty Burger,"Burgers, Hot Dogs, Bars",02116
Courthouse Seafood Restaurant,"Seafood Markets, Seafood, Fish & Chips",02141
Seoul Jangteo,"Korean, Chinese, Noodles",02134
Beantown Pub,"Pubs, American, Breakfast & Brunch",02108
Pagliucas,Italian,02113
Amelias Trattoria,Italian,02139
The Federal,"Steakhouses, Cocktail Bars, Italian",02451
Basho Japanese Brasserie,"Japanese, Sushi Bars, Asian Fusion",02215
Rincon Limeño Restaurant,"Latin American, Peruvian",02128
Fuji at Assembly,"Sushi Bars, Salad, Asian Fusion",02145
Blue Nile Restaurant,Ethiopian,02130
Saloniki Greek,"Greek, Cocktail Bars, Mediterranean",02138
bb.q Chicken Kenmore,"Korean, Chicken Wings, Chicken Shop",02215
Isshindo Ramen,Ramen,02134
ArtBar Cambridge,New American,02142
Le's Sushi Bar & Restaurant,"Sushi Bars, Vietnamese",02141
Highland Kitchen,"New American, Bars, Breakfast & Brunch",02143
King and I,Thai,02114
Siam Ginger,Thai,02143
Monica’s Pasta Shop,"Delis, Pasta Shops, Sandwiches",02109
Amar ,"Portuguese, Wine Bars",02116
El Jefe’s Taqueria - Symphony,"Mexican, Breakfast & Brunch",02115
Vester,Cafes,02142
Tamo Bistro & Bar,"Bars, New American",02210
Bubor Cha Cha,"Seafood, Szechuan",02111
Ristorante Saraceno,"Italian, Seafood, Desserts",02113
Spirit of Boston,"American, Venues & Event Spaces, Boat Tours",02210
Ebi Sushi Bar,"Sushi Bars, Japanese",02143
Fasika Cafe,"Ethiopian, African",02119
The Daily Catch,Seafood,02446
Nud Pob Thai Cuisine,Thai,02215
The Sevens Ale House,"Pubs, American",02114
Lone Star Taco Bar,"Bars, Tacos",02134
Zuzu Momo,"Indian, Himalayan/Nepalese, Bars",02149
The Paramount,"Breakfast & Brunch, New American, Specialty Food",02127
Manoa Poke Shop,"Poke, Hawaiian, Seafood",02143
Thornton's,"Breakfast & Brunch, Cafes",02115
Clink,"New American, Lounges",02114
Chalawan,"Thai, Indonesian, Singaporean",02140
Tasty Mo:Mo,Himalayan/Nepalese,02145
The Dial at 907 Main,American,02139
Ward 4,"Comfort Food, New American, Cocktail Bars",02466
Regina Pizzeria,"Pizza, Italian",02215
Porter Cafe,"Bars, Burgers, Gastropubs",02132
Seoul - Boston,"Korean, Sushi Bars, Japanese",02114
Idle Hour,"American, Cocktail Bars, Breakfast & Brunch",02169
BAB Korean Bistro,Korean,02446
Lo Conte's Restaurant,"Italian, Wine Bars, Seafood",02113
POKE by Love Art,"Poke, Hawaiian",02114
Sprout,"Salad, Wraps, Desserts",02115
Aram's No 2 Pizza & Subs,Pizza,02141
Solid Ground Cafe,"Coffee & Tea, Cafes, Sandwiches",02115
Pagu,"Japanese, Spanish, Tapas Bars",02139
Billy's Sub Shop,"Diners, Sandwiches, Salad",02116
MMMac & Cheese,"American, Seafood, Burgers",02109
Render Coffee,"Cafes, Coffee & Tea",02118
My Diner,"New American, Breakfast & Brunch, Seafood",02127
Curio Coffee,"Coffee & Tea, Waffles, Wine Bars",02141
Peregrine,"Mediterranean, Italian, Breakfast & Brunch",02114
Mother Juice,"Juice Bars & Smoothies, Salad, Acai Bowls",02108
Basta Pasta Trattoria,"Italian, Pizza",02139
Talulla,"New American, Seafood",02138
Out of the Blue,Seafood,02144
CAVA,"Mediterranean, Salad",02142
Tasty Pot,"Hot Pot, Bubble Tea, Taiwanese",02134
Long Bar & Terrace,"Cocktail Bars, Breakfast & Brunch, Seafood",02116
Grana,"Italian, Breakfast & Brunch",02110
Sterling's,New American,02109
Esperia Grill,Greek,02135
Orinoco,"Caribbean, Venezuelan",02445
Thaitation,Thai,02215
Typhoon Asian Bistro,"Japanese, Asian Fusion, Sushi Bars",02116
Blaze Pizza,"Pizza, Salad, Fast Food",02141
Cactus Mexican Grill,"Mexican, Salvadoran",02128
Riccardo's Ristorante,"Italian, Event Planning & Services",02109
Telegraph Hill,"Sports Bars, American",02127
Fuki Japanese Cuisine,"Sushi Bars, Cocktail Bars, Japanese",02143
Singh's Roti Shop,Trinidadian,02125
Anchan House of Thai Food,Thai,02184
The Publick House,"Pubs, American, Belgian",02445
California Pizza Kitchen,"Pizza, New American, Salad",02199
Fuji at WoC,"Japanese, Sushi Bars, Cocktail Bars",02169
Lingo Cafe & Bar,"Bars, New American, Wraps",02141
Slate Bar & Grill,"American, Bars",02110
District 118 Kitchen and Bar,"Gastropubs, New American, Cocktail Bars",02464
Shake Shack Newbury Street,"Burgers, Hot Dogs, Ice Cream & Frozen Yogurt",02116
Yotel Deck 12,"Cocktail Bars, Beer Bar, Sandwiches",02210
Ali Baba,"Turkish, Halal, Mediterranean",02118
163 Vietnamese Sandwiches & Bubble Tea,"Vietnamese, Coffee & Tea, Delis",02111
Empire Garden Restaurant,"Dim Sum, Cantonese",02111
J & J Restaurant & Takeout,"Portuguese, American, Seafood",02143
Cocobeet,"Juice Bars & Smoothies, Salad, Vegan",02108
Fajitas & 'Ritas,"Tex-Mex, Venues & Event Spaces, Cocktail Bars",02111
Energize,"Juice Bars & Smoothies, Salad, Acai Bowls",02115
OliToki,"Korean, Asian Fusion, Mexican",02134
Sugidama Soba & Izakaya,"Noodles, Izakaya, Sushi Bars",02144
Archie's New York Deli,"Delis, Breakfast & Brunch, Sandwiches",02110
Daddy Jones,"Bars, Greek",02145
La Neta,"Tacos, Chicken Shop, Steakhouses",02116
Dumpling Palace,"Taiwanese, Chinese",02115
Wolfgang’s Steakhouse,"Steakhouses, Salad, Seafood",02108
Bistro 5,"Italian, Modern European",02155
Symphony Sushi,"Japanese, Sushi Bars",02115
Harborside Grill & Patio,"Seafood, American",02128
LoLa Burger,"Burgers, Sandwiches, American",02210
Lambert's Marketplace,"Delis, Beer, Wine & Spirits, Convenience Stores",02111
Olivia's Bistro,Italian,02458
Umbria,"Italian, Steakhouses, Bars",02113
Saigon Hut,Vietnamese,02128
The Washington Square Tavern,"Bars, American",02445
Boston Döner,"Kebab, Pizza, Turkish",02114
Dunn-Gaherin’s Food and Spirits,"Irish, New American, Desserts",02464
Ghost Pepper Taco + Tequila Bar,"Mexican, Lounges",02125
Wen's Yunnan Noodle & Ramen,"Ramen, Chinese, Noodles",02116
Eddie Merlot's,"Seafood, Steakhouses, American",02210
Boston Kebab - Boston,"Turkish, Mediterranean, Kebab",02109
Hao Shi Guang,"Chinese, Seafood",02134
City Winery,"Venues & Event Spaces, Wine Bars, New American",02114
The Lansdowne Pub,"Pubs, Salad, Sandwiches",02215
Buttonwood,"New American, Bars",02461
Sofia Italian Steakhouse,"Steakhouses, Italian",02132
OTTO,"Pizza, Gluten-Free, Vegetarian",02446
Penguin Pizza,"Pizza, Italian, Sports Bars",02115
Naco Taco on Newbury,"Tacos, Food Trucks",02115
Sweet Rice Thai Sushi,"Sushi Bars, Thai, Salad",02129
Siam Bistro,Thai,02110
Broadway's Pastry & Coffee Shop,"Desserts, Cafes, Coffee & Tea",02127
Nan Xiang Express ,"Shanghainese, Dim Sum, Noodles",02111
Taco Loco Mexican Grill,Mexican,02145
Lord Hobo,"Bars, American, Breakfast & Brunch",02139
Cap't Loui,"Seafood, Cajun/Creole",02184
The Cellar Food & Drink,"New American, Bars",02138
Sweet Basil,Italian,02492
Roxy's Gourmet Grilled Cheese,"Sandwiches, Food Trucks",02118
ReelHouse Boston,"New American, Seafood, Breakfast & Brunch",02128
Cha Yen Thai Cookery,"Thai, Ice Cream & Frozen Yogurt, Noodles",02472
House of Siam,"Thai, Seafood",02118
Suyajoint,"African, Wine Bars, Cocktail Bars",02119
The Townshend,"New American, Cocktail Bars, Sandwiches",02169
Dillon's,"Bars, American",02115
2nd Street Cafe,Cafes,02141
Liberty Tavern,"American, Pizza, Breakfast & Brunch",02169
Cambridge Common,"American, Bars",02138
Rossetti Restaurant of Lynn,"Italian, Bars, Venues & Event Spaces",01901
Clerys,"Bars, American, Sandwiches",02116
The Plough & Stars,"Music Venues, American, Irish",02139
Casey's,"Pubs, Pizza, Sandwiches",02145
M&J Teriyaki,"Japanese, Bubble Tea, Asian Fusion",02215
Lower Mills Tavern,"Cocktail Bars, Coffee & Tea, American",02124
Al's South Street Cafe,"Sandwiches, Salad",02111
Shabu-Zen,"Japanese, Chinese, Asian Fusion",02134
Orinoco,"Venezuelan, Desserts, Salad",02138
Mangia Mangia,"Italian, Burgers",02113
Tasca Restaurant,"Spanish, Tapas/Small Plates, Vegetarian",02135
Naco Taco,"Mexican, Beer Bar, Cocktail Bars",02139
Little Tao,"Szechuan, Seafood, Soup",02134
Serafina - Seaport,"Bars, Pizza, Italian",02210
Article 24,"Bars, New American, Sandwiches",02135
Antonio's Bacari,Italian,02136
Wahlburgers,"American, Burgers",02125
Soleil,Comfort Food,02119
Bánh Mì Ơi- West Roxbury,Vietnamese,02132
The Halal Guys,"Middle Eastern, Halal",02116
Chacarero,"Sandwiches, Latin American",02108
Club Passim,"Music Venues, American, Community Service/Non-Profit",02138
Valsos Table & Bar,"Tapas Bars, New American, Italian",02151
Victoria's Diner,"Diners, Breakfast & Brunch, American",02118
Moldova Restaurant,"Modern European, Comfort Food, Ukrainian",02458
Black Seed Cafe & Grill,"Middle Eastern, Halal, Falafel",02111
South End Buttery,"American, Coffee & Tea, Bakeries",02116
Kimchipapi Kitchen,"Korean, Poke, Hot Dogs",02134
Madhouse Cafe,Cafes,02119
The Boiling Crab,"Seafood, Cajun/Creole",02138
Chiharu,"Sushi Bars, Ramen, Noodles",02445
Haju Kitchen,Korean,02115
FiorItaly Trattoria,Italian,02155
Punjabi Dhaba,Indian,02139
The Hill Tavern,"Pubs, Breakfast & Brunch, Sandwiches",02114
Moon Flower House,"Burgers, Bubble Tea, Desserts",02134
Guy Fieri's Tequila Cocina,"Mexican, Latin American",02114
Seapoint Restaurant,"Bars, American",02127
Sophia's Grotto,"Italian, Spanish",02131
Sullivan's Castle Island,"Fast Food, Burgers, Ice Cream & Frozen Yogurt",02127
Legal Sea Foods - Park Square,"Bars, Seafood, Sandwiches",02116
Machu Picchu,Peruvian,02143
La Hacienda Restaurant and Bar,"Mexican, Bars",02128
All Star Pizza Bar,Pizza,02139
Taco Mex,"Mexican, Latin American, Seafood",02128
Clover Food Lab,"Sandwiches, Cafes, New American",02110
The Oyster Bar,Seafood,02109
Poké-City,"Poke, Japanese, Hawaiian",02109
Larry J's BBQ Cafe,"Barbeque, American, Caterers",02210
FuGaKyu Japanese Cuisine - Brookline,"Sushi Bars, Ramen, Seafood",02446
Shanti Indian Cuisine,"Indian, Bangladeshi, Asian Fusion",02125
Code 10,"Sandwiches, Soup, Ice Cream & Frozen Yogurt",02118
Stoked Wood Fired Pizza,"Food Trucks, Pizza",02110
Tambo 22,"Peruvian, Seafood, Cocktail Bars",02150
Bow Market,Food Court,02143
The Chicken & Rice Guys - Downtown,"Middle Eastern, Caterers",02111
Crispy Crêpes Cafe,"Creperies, Mediterranean, Breakfast & Brunch",02215
Sam's Kitchen,"Italian, Desserts, Wine Bars",01801
The Upper Crust Pizzeria,"Pizza, Chicken Shop",02114
Our Zone,Szechuan,02135
Pizzeria 260,"Italian, Pizza, Salad",02127
Vuolo's,Italian,02152
753 South,"Bars, American",02131
True North Kitchen + Bar,"New American, Seafood, Gastropubs",02191
The Cheesecake Factory,"American, Desserts",02141
Hub Hall,"Venues & Event Spaces, Bars, New American",02114
Leone's Sub & Pizza,"Sandwiches, Pizza",02145
Nash Bar And Stage,"Southern, New American, Venues & Event Spaces",02116
Casa Portugal,"Seafood, Portuguese",02139
Clarke's at Faneuil Hall,"American, Seafood, Bars",02109
Galley Diner,"Diners, American",02127
Urban Hearth,"New American, Bars",02140
